"Site","seasons","seasonal","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Atlin Monarch Mt","Fall","mean",-3.87,-6.23,-1.56,5.28,850.79,87.56,-5.82,2.88,13,9.8,63.13
"Atlin Monarch Mt","Fall","max",13.61,9.09,18.34,17.2,869.2,100,8.51,9.57,89.63,23.01,224.83
"Atlin Monarch Mt","Fall","min",-27,-29.32,-24.65,0,825.9,42.53,-28.85,0,271.78,0,3.88
"Atlin Monarch Mt","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Atlin Monarch Mt","Spring","mean",-4.44,-7.28,-1.55,3.91,851.89,77.09,-8.28,3.12,25.25,9.99,185.01
"Atlin Monarch Mt","Spring","max",13.65,10.12,18.34,15,862.6,99,4.12,7.41,89.68,20.59,395.78
"Atlin Monarch Mt","Spring","min",-25.31,-27.15,-23.52,0,834.5,32.55,-29.8,0,270.44,0,47.38
"Atlin Monarch Mt","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Atlin Monarch Mt","Summer","mean",7.8,4.79,11.81,6.35,857.29,74.98,3.05,2.68,30.75,8.95,216.91
"Atlin Monarch Mt","Summer","max",18.86,14.96,22.92,24.2,870.5,100,8.98,5.02,88.98,14.59,383.07
"Atlin Monarch Mt","Summer","min",0.08,-2.48,1.51,0,846.3,38.32,-4.85,0.31,270.72,4.53,9.05
"Atlin Monarch Mt","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Atlin Monarch Mt","Winter","mean",-12,-14.41,-10.17,2.4,858.61,88.02,-13.41,2.78,10.9,9.48,25.08
"Atlin Monarch Mt","Winter","max",3.34,1.75,5.44,10.6,1054.8,99.7,0.86,8.96,87.7,39.33,107.9
"Atlin Monarch Mt","Winter","min",-34.72,-36.15,-33.06,0,803.8,30.68,-37.13,0,270.15,0,1.6
"Atlin Monarch Mt","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Atlin School","Fall","mean",0.58,-2.83,4.17,5.32,NA,81.38,-2.8,0.46,2.79,4.02,27.14
"Atlin School","Fall","max",16.87,12.7,24.64,19.4,-Inf,99.98,11.08,1.96,89.73,10.58,90.51
