"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Atlin Monarch Mt","Summer (May-Sep)","mean",5.73,2.7,9.28,1.14,856.06,76.58,1.52,2.76,26.89,8.95,197.7,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Summer (May-Sep)","max",18.86,14.96,22.92,24.2,870.5,100,8.98,7.05,88.98,23.01,395.78,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Summer (May-Sep)","min",-4.98,-7.94,-2.57,0,842.9,32.55,-11.76,0.1,270.72,3.52,9.05,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Summer (May-Sep)","obs_na",610,610,610,301,1069,610,610,825,872,825,568,1225,1225,1225,1225,1225,1225
"Atlin Monarch Mt","Winter (Oct-Apr)","mean",-9.32,-11.65,-6.99,0.12,853.23,86.07,-11.36,2.34,14.85,7.87,62.2,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Winter (Oct-Apr)","max",9.05,6.31,13.69,11.2,1054.8,100,5.25,9.57,89.68,39.33,307.75,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Winter (Oct-Apr)","min",-34.72,-36.15,-33.06,0,803.8,30.68,-37.13,0,270.15,0,1.6,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Winter (Oct-Apr)","obs_na",849,849,849,424,1486,849,849,930,1209,930,762,1698,1698,1698,1698,1698,1698
"Atlin School","Summer (May-Sep)","mean",10.37,5.09,15.83,0.66,NA,68.81,4.33,0.34,21.51,3.73,88.7,NA,NA,NA,NA,NA,NA
"Atlin School","Summer (May-Sep)","max",20.96,14.58,30.75,22.8,-Inf,98.98,13.92,1.4,90,8.53,193.69,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Summer (May-Sep)","min",0.16,-4.83,2.69,0,Inf,34.81,-8.29,0,270.03,0,5.56,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Summer (May-Sep)","obs_na",0,0,0,0,2046,129,129,0,0,0,0,2046,2046,2046,2046,2046,2046
"Atlin School","Winter (Oct-Apr)","mean",-5.7,-9.61,-1.66,0.31,NA,80.02,-8.76,0.25,1.99,3.05,27.65,NA,NA,NA,NA,NA,NA
"Atlin School","Winter (Oct-Apr)","max",12.13,9.48,17.51,38.4,-Inf,99.99,8.38,2,89.91,12.99,174.58,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Winter (Oct-Apr)","min",-35.21,-38.91,-30.76,0,Inf,37.71,-37.87,0,270.1,0,0.65,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Winter (Oct-Apr)","obs_na",0,0,0,0,2922,212,212,0,0,0,0,2922,2922,2922,2922,2922,2922
"Barren","Summer (May-Sep)","mean",11.26,5.26,17.12,1.43,894.44,69.65,5.1,0.91,34.29,7.21,205.53,0.09,0.13,0.11,10.87,NA,NA
"Barren","Summer (May-Sep)","max",21.9,14.15,29.69,61.2,907.08,98.69,12.69,3.06,88.73,13.09,373.27,0.2,0.28,0.28,15.6,-Inf,-Inf
"Barren","Summer (May-Sep)","min",-0.83,-3.57,0.33,0,875.02,33.07,-4.17,0,271.66,1.51,11.5,0.02,0.04,0.05,0.49,Inf,Inf
"Barren","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,542,542
